30-12-2014 19:10 - [server_room]   Humidity:41.34,          Temperature:17.52;
30-12-2014 19:10 - [garden]   Humidity:23.05,          Temperature:24.00;
30-12-2014 19:10 - [server_room]   Humidity:41.85,          Temperature:17.43;
30-12-2014 19:10 - [garden]   Humidity:23.05,          Temperature:24.00;
30-12-2014 19:11 - [server_room]   Humidity:41.86,          Temperature:17.52;
30-12-2014 19:11 - [garden]   Humidity:23.05,          Temperature:24.00;
30-12-2014 19:11 - [server_room]   Humidity:41.87,          Temperature:17.60;
30-12-2014 19:11 - [garden]   Humidity:23.05,          Temperature:23.96;
30-12-2014 19:12 - [server_room]   Humidity:41.86,          Temperature:17.43;
30-12-2014 19:12 - [garden]   Humidity:23.05,          Temperature:23.96;
30-12-2014 19:12 - [server_room]   Humidity:41.85,          Temperature:17.43;
30-12-2014 19:12 - [garden]   Humidity:23.05,          Temperature:23.92;
30-12-2014 19:14 - [server_room]   Humidity:42.37,          Temperature:17.39;
30-12-2014 19:14 - [garden]   Humidity:23.05,          Temperature:23.92;
30-12-2014 19:14 - [server_room]   Humidity:41.85,          Temperature:17.36;
30-12-2014 19:14 - [garden]   Humidity:23.05,          Temperature:23.92;
30-12-2014 19:15 - [server_room]   Humidity:42.37,          Temperature:17.36;
30-12-2014 19:15 - [garden]   Humidity:23.05,          Temperature:23.96;
30-12-2014 19:15 - [server_room]   Humidity:42.37,          Temperature:17.32;
30-12-2014 19:15 - [garden]   Humidity:23.05,          Temperature:23.96;
30-12-2014 19:16 - [server_room]   Humidity:42.37,          Temperature:17.28;
30-12-2014 19:16 - [garden]   Humidity:23.05,          Temperature:23.92;
30-12-2014 19:16 - [server_room]   Humidity:42.36,          Temperature:17.28;
30-12-2014 19:16 - [garden]   Humidity:23.05,          Temperature:23.92;
30-12-2014 19:17 - [server_room]   Humidity:42.35,          Temperature:17.24;
30-12-2014 19:17 - [garden]   Humidity:23.05,          Temperature:23.88;
